Luas Wilayah Menurut Kecamatan di Kota Samarinda, 2015;;;;;
;;;;;
Kecamatan;Luas Wilayah (km2)  ;Persentase;;;
;;;;;
Palaran;221,29;30.82;;;
Samarinda Ilir;17,18;2.39;;;
Samarinda Kota;11,12;1.55;;;
Sambutan;100,95;14.06;;;
Samarinda Seberang;12,49;1.74;;;
Loa Janan Ilir;26,13;3.64;;;
Sungai Kunjang;43,04;5.99;;;
Samarinda Ulu;22,12;3.08;;;
Samarinda Utara;229,52;31.97;;;
Sungai Pinang;34,16;4.76;;;
Samarinda;  718.00;100.00;;;
;;;;;
Sumber: Badan Pertanahan Kota Samarinda;;;;;
